"CODMUNDV";"Zona";"LAT";"LONG";"NOME_MUNIC";"NOME_UF";"UF";"REG";"CENTR";"RM";"MUN_HIS_TUR";"POP_2010";"POP_URB_10";"POP_2015";"POP_2016";"TXC_POP_10_16";"AREA";"DENS_2016";"PREF_12";"PART_12";"PREF_16";"PART_16";"ANTEN_TOTAL";"AREA_URB";"PIB";"PIB_PER_CAP";"PRIN_ATIVIDADE";"REC_TOTAL";"REC_PROP";"Perc.receitpropria";"DESP_TCU";"RENDA";"VEIC_2016";"AUTO_2016";"MOTO_2016";"VEIC_2010";"AUTO_2010";"MOTO_2010";"TXC_AUTO_10_16";"TXC_MOTO_10_16";"ACESS";"PAV";"CAL";"ARB";"LOGR";"TX_ACID_TRAN";"IDH";"PD";"PD_ANO";"PDMU";"VEIC_HAB";"MOTO_HAB";"AUTO_HAB"
3510401;704;-22,99575478;-47,50964765;"Capivari";"SÃO PAULO";"SP";"Sudeste";"Centro de Zona B";"AUP";1;48576;"94%";53152;53731;0,022761721;322,7;166,5044933;"RODRIGO ABDALA PROENÇA";"PPS";"RODRIGO ABDALA PROENÇA";"PSDB";20;0;1527992,814;29413,32489;"Serviços";185501142,4;110296061,1;"0,594584269";"";790,1637662;31749;22434;6500;22716;16108;4364;0,068496291;0,082943311;0,009303152;"62%";0,615205638;0,645059173;0,344800602;"20,9288609";0,75;"Sim";"2006";"Sim";0,590887941784073;0,120972995105247;0,417524334183246
3511706;705;-22,51207868;-47,77350108;"Charqueada";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;15085;"91%";16440;16608;0,021737009;175,8;94,47098976;"JOSÉ HENRIQUE PIAZZA";"PT";"ROMEU ANTONIO VERDI";"PSDB";7;0;237903,0387;14783,93231;"Serviços";42562637,39;15257743,62;"0,358477401";"";711,0668966;8239;5973;1331;5830;4233;874;0,071294436;0,087760601;0,000821018;"59%";0,466162523;0,488664737;0,48257075;"12,29407426";0,736;"Não";"-";"Sem informação";0,496086223506744;0,0801421001926782;0,359645953757225
3512209;706;-22,34158368;-47,17130612;"Conchal";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;25229;"94%";27132;27345;0,01834619;182,8;149,5897155;"VALDECI APARECIDO LOURENÇO";"DEM";"LUIZ VANDERLEI MAGNUSSON";"PSDB";9;0;499992,4622;18734,02758;"Serviços";86980925,98;44707827,52;"0,513995764";"";609,9075;15862;10273;3660;10143;6450;2315;0,097558089;0,095938082;0,00354302;"81%";0,759354934;0,836007268;0,537044009;"22,29323029";0,708;"Sim";"2006";"Não";0,580069482537941;0,133845309928689;0,375681111720607
3512407;707;-22,48228343;-47,45899574;"Cordeirópolis";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;21080;"90%";23234;23517;0,024621217;137,6;170,9084302;"AMARILDO ANTONIO ZORZO";"PV";"JOSE ADINAN ORTOLAN";"PMDB";10;0;2274596,54;100432,5565;"Serviços";127761641,5;90983568,11;"0,712135247";"";812,9913333;14473;10145;2709;10463;7266;2037;0,069033541;0,058677286;0,143653747;"69%";0,668122775;0,686490892;0,601580627;"26,14948791";0,758;"Sim";"2011";"Não";0,615427137815198;0,115193264446996;0,43139005825573
3512704;708;-22,224058;-47,61525523;"Corumbataí";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;3874;"54%";4036;4045;0,010294259;278,6;14,51902369;"VICENTE RIGITANO";"PTB";"LEANDRO MARTINEZ";"DEM";10;0;143503,1887;35715,07933;"Serviços";22802041,44;10931747,09;"0,479419666";"";786,8811111;2358;1612;402;1694;1133;313;0,07306746;0,05132343;NA;"41%";0,324004429;0,413788543;0,335451295;"24,83238143";0,754;"Não";"-";"Sem informação";0,582941903584672;0,0993819530284302;0,398516687268232
3514908;709;-23,04243399;-47,375238;"Elias Fausto";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;15775;"80%";17085;17241;0,020143822;202,7;85,05673409;"LAERCIO BETARELLI";"PSDB";"MAURICIO BARONI BERNARDINETTI";"PMDB";10;0;478003,3707;28517,08452;"Serviços";59199452,83;23468595,81;"0,396432647";"";693,0246667;6943;4586;1630;4100;2574;972;0,122445082;0,108930345;0,018302081;"54%";0,52696541;0,572131013;0,632468259;"17,72421127";0,695;"Sim";"2013";"Não";0,402702859462908;0,0945420799257584;0,265993851864741
3521101;710;-22,43461105;-47,70861366;"Ipeúna";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;6016;"86%";6914;7047;0,035393387;190;37,08947368;"ILDEBRAN PRATA";"PP";"JOSE ANTONIO DE CAMPOS";"PSD";5;0;547415,0176;82466,86013;"Indústria";27847693,7;14554846,59;"0,522658959";"Não informado";865,1025;3623;2590;603;2284;1621;376;0,098255406;0,099071366;0,005412824;"66%";0,434954989;0,589285844;0,578930272;"14,75361464";0,753;"Não";"-";"Sem informação";0,514119483468143;0,0855683269476373;0,367532283241095
3521408;711;-22,57431763;-47,51295824;"Iracemápolis";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";0;20029;"98%";22557;22914;0,030161982;115,1;199,0790617;"VALMIR GONCALVES DE ALMEIDA";"PT";"FABIO FRANCISCO ZUZA";"PSDB";8;0;551598,517;25285,28613;"Serviços";63188605,23;33847856,11;"0,535663922";"Não informado";837,8878571;13748;9455;2753;9997;6730;2044;0,070358578;0,061365738;0,018776649;"88%";0,876482795;0,879667956;0,802689739;"13,51899419";0,776;"Não";"-";"Sim";0,599982543423235;0,120144889587152;0,412629833289692
3526407;712;-23,04739986;-47,83574003;"Laranjal Paulista";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";1;25251;"90%";27384;27640;0,020480184;384;71,97916667;"HEITOR CAMARIN JUNIOR";"PT";"ALCIDES DE MOURA CAMPOS JUNIOR";"PTB";16;0;695439,6577;25898,02472;"Serviços";78448736,16;37271504,93;"0,475106506";"Não informado";761,0423077;15371;10933;2788;10769;7648;1983;0,074084115;0,070518091;0,011762933;"77%";0,758595793;0,679650226;0,41170036;"14,74817491";0,729;"Sim";"2006";"Sim";0,556114327062229;0,100868306801737;0,3955499276411
3526704;713;-22,19227641;-47,38285234;"Leme";"SÃO PAULO";"SP";"Sudeste";"Centro de Zona B";"AUP";0;91756;"98%";99388;100296;0,020175453;402,9;248,9352197;"PAULO ROBERTO BLASCKE";"PT";"WAGNER RICARDO ANTUNES FILHO";"PSD";18;0;2307965,348;23670,22561;"Serviços";299846138,7;182928320,2;"0,610073957";"Não informado";714,7338806;64010;38419;19981;45125;26792;14187;0,074751808;0,070891152;0,018975949;"90%";0,839712258;0,824263583;0,829603739;"17,26589478";0,744;"Sim";"1993";"Não";0,638210895748584;0,19922030788865;0,383056153784797
