CODMUNDV;NOME_MUNIC;RM;Zona;LAT;LONG
3509205;Cajamar;RMSP;105;-23,33724136;-46,84165487
3510609;Carapicuíba;RMSP;106;-23,53422102;-46,836689
3513009;Cotia;RMSP;107;-23,59712209;-46,91034946
3513801;Diadema;RMSP;108;-23,69728754;-46,61142421
3515004;Embu;RMSP;109;-23,65538834;-46,80407976
3515103;Embu-Guaçu;RMSP;110;-23,83399426;-46,81268728
3515707;Ferraz De Vasconcelos;RMSP;111;-23,5610608;-46,37393919
3516309;Francisco Morato;RMSP;112;-23,27467135;-46,731578
3516408;Franco Da Rocha;RMSP;113;-23,32300586;-46,71999097
3518305;Guararema;RMSP;114;-23,41288817;-46,03751439
3518800;Guarulhos;RMSP;115;-23,44549741;-46,51804543
3522208;Itapecerica Da Serra;RMSP;116;-23,70901977;-46,85555932
3522505;Itapevi;RMSP;117;-23,54398724;-46,94080682
3523107;Itaquaquecetuba;RMSP;118;-23,48315528;-46,363524
3525003;Jandira;RMSP;119;-23,53571078;-46,90290065
3526209;Juquitiba;RMSP;120;-23,9296701;-47,07041612
3528502;Mairiporã;RMSP;121;-23,32217821;-46,58508473
3529401;Mauá;RMSP;122;-23,67202401;-46,45580648
3530607;Mogi Das Cruzes;RMSP;123;-23,52867579;-46,19890528
3534401;Osasco;RMSP;124;-23,52908962;-46,7775951
3539103;Pirapora Do Bom Jesus;RMSP;125;-23,39865267;-47,0032113
3539806;Poá;RMSP;126;-23,53048544;-46,34677372
3543303;Ribeirão Pires;RMSP;127;-23,71162686;-46,41434144
3544103;Rio Grande Da Serra;RMSP;128;-23,74700871;-46,39704364
3545001;Salesópolis;RMSP;129;-23,53074491;-45,84732142
3546801;Santa Isabel;RMSP;130;-23,32035739;-46,22340359
3547304;Santana De Parnaíba;RMSP;131;-23,44218683;-46,9219365
3547809;Santo André;RMSP;132;-23,65604729;-46,52136754
3548708;São Bernardo Do Campo;RMSP;133;-23,70140543;-46,55528949
3548807;São Caetano Do Sul;RMSP;134;-23,62614077;-46,56606253
3549953;São Lourenço Da Serra;RMSP;135;-23,8507127;-46,94345528
3550308;São Paulo;RMSP;100;-23,56007121;-46,65912598
3552502;Suzano;RMSP;136;-23,54340788;-46,30451286
3552809;Taboão Da Serra;RMSP;137;-23,62642074;-46,78901661
3556453;Vargem Grande Paulista;RMSP;138;-23,60225349;-47,01794339
3502507;Aparecida;RMVPLN;501;-22,84429355;-45,22990235
3503158;Arapeí;RMVPLN;502;-22,67335886;-44,44909219
3503505;Areias;RMVPLN;503;-22,58151317;-44,69604111
3504909;Bananal;RMVPLN;504;-22,67886375;-44,32021836
3508504;Caçapava;RMVPLN;505;-23,1080866;-45,70593855
3508603;Cachoeira Paulista;RMVPLN;506;-22,66818705;-45,00932317
3509700;Campos Do Jordão;RMVPLN;507;-22,73537005;-45,585928
3509957;Canas;RMVPLN;508;-22,70504289;-45,05342314
3510500;Caraguatatuba;RMVPLN;509;-23,62465676;-45,39003392
3513405;Cruzeiro;RMVPLN;510;-22,57779879;-44,96674879
3513603;Cunha;RMVPLN;511;-23,07552232;-44,95983269
3518404;Guaratinguetá;RMVPLN;512;-22,79707813;-45,18368632
3520202;Igaratá;RMVPLN;513;-23,20720677;-46,15831467
3520400;Ilhabela;RMVPLN;514;-23,82213313;-45,36546632
3524402;Jacareí;RMVPLN;515;-23,30308173;-45,95987483
3524907;Jambeiro;RMVPLN;516;-23,25699036;-45,69483442
3526308;Lagoinha;RMVPLN;517;-23,08902791;-45,19160917
3526605;Lavrinhas;RMVPLN;518;-22,56045715;-44,9268443
3527207;Lorena;RMVPLN;519;-22,74168361;-45,11272389
3531704;Monteiro Lobato;RMVPLN;520;-22,95458319;-45,84047263
3532306;Natividade Da Serra;RMVPLN;521;-23,41513124;-45,38144812
3535606;Paraibuna;RMVPLN;522;-23,38002949;-45,66692442
3538006;Pindamonhangaba;RMVPLN;523;-22,93363539;-45,4605404
3538501;Piquete;RMVPLN;524;-22,61018702;-45,18449932
3540754;Potim;RMVPLN;525;-22,83808574;-45,25701523
3541901;Queluz;RMVPLN;526;-22,53644873;-44,77237696
3542305;Redenção Da Serra;RMVPLN;527;-23,25366985;-45,52616445
3544301;Roseira;RMVPLN;528;-22,89294236;-45,30157155
3546009;Santa Branca;RMVPLN;529;-23,39936776;-45,8843195
3548203;Santo Antônio Do Pinhal;RMVPLN;530;-22,82591668;-45,66486636
3548609;São Bento Do Sapucaí;RMVPLN;531;-22,69404474;-45,73744626
3549607;São José Do Barreiro;RMVPLN;532;-22,64319799;-44,57965549
3549904;São José Dos Campos;RMVPLN;500;-23,20648739;-45,886193
3550001;São Luís Do Paraitinga;RMVPLN;533;-23,22328971;-45,31177803
3550704;São Sebastião;RMVPLN;534;-23,80249423;-45,404811
3552007;Silveiras;RMVPLN;535;-22,66359374;-44,85164341
3554102;Taubaté;RMVPLN;536;-23,02903589;-45,562565
3554805;Tremembé;RMVPLN;537;-22,9773815;-45,54413557
3555406;Ubatuba;RMVPLN;538;-23,4589649;-45,06760375
